instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
275,2011-10-02,4,0,10,0,6,0,2,0.249,0.255,0.613,0.1894,657,1229,1886
276,2011-10-03,4,0,10,0,0,1,2,0.263,0.2396,0.5535,0.2279,654,2133,2787
277,2011-10-04,4,0,10,0,1,1,2,0.2516,0.3002,0.6849,0.3772,530,1730,2260
278,2011-10-05,4,0,10,0,2,1,1,0.2288,0.2414,0.7142,0.1239,603,1782,2385
279,2011-10-06,4,0,10,0,3,1,1,0.1968,0.2094,0.5212,0.5808,668,2116,2784
280,2011-10-07,4,0,10,0,4,1,2,0.242,0.264,0.4764,0.1484,708,2144,2852
281,2011-10-08,4,0,10,0,5,0,1,0.2148,0.269,0.3504,0.0828,637,1142,1779
282,2011-10-09,4,0,10,0,6,0,2,0.2439,0.2804,0.5721,0.3485,571,1401,1972
283,2011-10-10,4,0,10,0,0,1,3,0.2748,0.2529,0.4082,0.2354,417,1067,1484
284,2011-10-11,4,0,10,1,1,0,1,0.2774,0.2719,0.6841,0.4649,496,1126,1622
285,2011-10-12,4,0,10,0,2,1,1,0.2292,0.2788,0.7831,0.1845,498,1627,2125
286,2011-10-13,4,0,10,0,3,1,1,0.259,0.2686,0.5153,0.0706,748,1949,2697
287,2011-10-14,4,0,10,0,4,1,1,0.3202,0.3021,0.616,0.1388,562,2041,2603
288,2011-10-15,4,0,10,0,5,0,1,0.1969,0.2168,0.5672,0.1393,389,1090,1479
289,2011-10-16,4,0,10,0,6,0,2,0.2242,0.2517,0.4486,0.19,579,1216,1795
290,2011-10-17,4,0,10,0,0,1,1,0.241,0.2464,0.6559,0.1803,621,1920,2541
291,2011-10-18,4,0,10,0,1,1,1,0.1824,0.1385,0.8417,0.2674,749,2004,2753
292,2011-10-19,4,0,10,0,2,1,1,0.1652,0.1273,0.2872,0.2741,594,1892,2486
293,2011-10-20,4,0,10,0,3,1,3,0.2907,0.2738,0.7831,0.2323,425,1359,1784
294,2011-10-21,4,0,10,0,4,1,1,0.291,0.3281,0.575,0.1411,805,2150,2955
295,2011-10-22,4,0,10,0,5,0,1,0.2955,0.2912,0.3763,0.0737,476,1289,1765
296,2011-10-23,4,0,10,0,6,0,2,0.2118,0.2116,0.4224,0.1837,534,1323,1857
297,2011-10-24,4,0,10,0,0,1,1,0.2015,0.1886,0.4061,0.3353,523,1979,2502
298,2011-10-25,4,0,10,0,1,1,2,0.1834,0.1281,0.4591,0.4455,700,2264,2964
299,2011-10-26,4,0,10,0,2,1,3,0.1972,0.239,0.6154,0.4962,786,1955,2741
300,2011-10-27,4,0,10,0,3,1,1,0.2399,0.2885,0.5364,0.431,591,1501,2092
301,2011-10-28,4,0,10,0,4,1,1,0.2177,0.2465,0.4988,0.347,672,2010,2682
302,2011-10-29,4,0,10,0,5,0,2,0.1427,0.1879,0.631,0.2915,478,1190,1668
303,2011-10-30,4,0,10,0,6,0,2,0.3169,0.2995,0.3599,0.0363,594,1457,2051
304,2011-10-31,4,0,10,0,0,1,1,0.2066,0.1855,0.6091,0.6718,636,1759,2395
305,2011-11-01,4,0,11,0,1,1,2,0.1525,0.1933,0.8609,0.3743,759,1815,2574
306,2011-11-02,4,0,11,0,2,1,1,0.1557,0.1046,0.5833,0.549,658,2023,2681
307,2011-11-03,4,0,11,0,3,1,2,0.12,0.0941,0.2776,0.407,591,1934,2525
308,2011-11-04,4,0,11,0,4,1,1,0.2123,0.2131,0.5948,0.4668,592,2058,2650
309,2011-11-05,4,0,11,0,5,0,1,0.2257,0.2053,0.4378,0.1945,734,1429,2163
310,2011-11-06,4,0,11,0,6,0,1,0.2145,0.2112,0.5264,0.4,469,1319,1788
311,2011-11-07,4,0,11,0,0,1,1,0.1907,0.1876,0.5174,0.1707,597,1576,2173
312,2011-11-08,4,0,11,1,1,0,2,0.146,0.1703,0.5471,0.2747,666,1341,2007
313,2011-11-09,4,0,11,0,2,1,1,0.0673,0.0564,0.2739,0.2404,694,1798,2492
314,2011-11-10,4,0,11,0,3,1,2,0.1375,0.1117,0.3942,0.2516,495,1833,2328
315,2011-11-11,4,0,11,0,4,1,2,0.172,0.1899,0.4476,0.1119,577,1798,2375
316,2011-11-12,4,0,11,0,5,0,3,0.0997,0.0669,0.2934,0.1099,420,882,1302
317,2011-11-13,4,0,11,0,6,0,1,0.0494,0.0781,0.3547,0.4006,417,923,1340
318,2011-11-14,4,0,11,0,0,1,1,0.1412,0.1399,0.84,0.4242,422,1294,1716
319,2011-11-15,4,0,11,0,1,1,1,0.1318,0.1615,0.4492,0.697,611,2002,2613
320,2011-11-16,4,0,11,0,2,1,1,0.1138,0.0922,0.332,0.3518,522,1569,2091
321,2011-11-17,4,0,11,0,3,1,2,0.1823,0.1906,0.4502,0.1229,575,2156,2731
322,2011-11-18,4,0,11,0,4,1,2,0.1182,0.1402,0.5535,0.3888,675,1943,2618
323,2011-11-19,4,0,11,0,5,0,1,0.1232,0.088,0.2789,0.2061,572,1297,1869
324,2011-11-20,4,0,11,0,6,0,2,0.0514,0.0611,0.4066,0.0925,689,1340,2029
325,2011-11-21,4,0,11,0,0,1,1,0.1978,0.1795,0.5953,0.1513,678,2068,2746
326,2011-11-22,4,0,11,0,1,1,1,0.0974,0.1024,0.699,0.2426,598,2104,2702
327,2011-11-23,4,0,11,0,2,1,1,0.0204,0.0,0.3954,0.2621,453,1675,2128
328,2011-11-24,4,0,11,0,3,1,1,0.147,0.1431,0.4483,0.0748,523,1437,1960
329,2011-11-25,4,0,11,0,4,1,1,0.1466,0.1283,0.5957,0.161,526,1885,2411
330,2011-11-26,4,0,11,0,5,0,1,0.2428,0.2132,0.2551,0.1445,562,1491,2053
331,2011-11-27,4,0,11,0,6,0,1,0.0766,0.0498,0.6506,0.6036,399,1189,1588
332,2011-11-28,4,0,11,0,0,1,1,0.1715,0.1536,0.4968,0.3218,768,2148,2916
333,2011-11-29,4,0,11,0,1,1,1,0.1235,0.0705,0.7946,0.1555,473,1438,1911
334,2011-11-30,4,0,11,0,2,1,1,0.0663,0.0588,0.3537,0.3551,660,2044,2704
335,2011-12-01,4,0,12,0,3,1,2,0.1859,0.1112,0.5494,0.5607,609,1748,2357
336,2011-12-02,4,0,12,0,4,1,1,0.1527,0.1616,0.3604,0.4799,586,1787,2373
337,2011-12-03,4,0,12,0,5,0,2,0.0688,0.079,0.2975,0.3288,694,1668,2362
338,2011-12-04,4,0,12,0,6,0,1,0.1661,0.1623,0.4764,0.2047,552,1318,1870
339,2011-12-05,4,0,12,0,0,1,1,0.0626,0.064,0.466,0.3101,549,1690,2239
340,2011-12-06,4,0,12,0,1,1,1,0.1054,0.052,0.1552,0.3131,534,1560,2094
341,2011-12-07,4,0,12,0,2,1,1,0.0894,0.1247,0.8002,0.0849,603,1943,2546
342,2011-12-08,4,0,12,0,3,1,2,0.0703,0.0356,0.2654,0.6058,714,2016,2730
343,2011-12-09,4,0,12,0,4,1,3,0.0427,0.0567,0.558,0.3157,585,1782,2367
344,2011-12-10,4,0,12,0,5,0,1,0.0769,0.0516,0.4676,0.2611,765,1625,2390
345,2011-12-11,4,0,12,0,6,0,1,0.1236,0.0971,0.592,0.3023,580,1711,2291
346,2011-12-12,4,0,12,0,0,1,1,0.0906,0.1113,0.5358,0.4479,571,1660,2231
347,2011-12-13,4,0,12,0,1,1,2,0.0428,0.0591,0.7713,0.2825,692,2221,2913
348,2011-12-14,4,0,12,0,2,1,3,0.1127,0.1278,0.529,0.3709,529,1991,2520
349,2011-12-15,4,0,12,0,3,1,1,0.1535,0.1303,0.5285,0.2654,596,1761,2357
350,2011-12-16,4,0,12,0,4,1,1,0.0287,0.0126,0.4052,0.0742,700,1807,2507
351,2011-12-17,4,0,12,0,5,0,3,0.1003,0.1261,0.4176,0.2633,557,1082,1639
352,2011-12-18,4,0,12,0,6,0,3,0.0669,0.0315,0.7117,0.1848,542,1418,1960
353,2011-12-19,4,0,12,0,0,1,2,0.0615,0.0779,0.7843,0.2838,712,2293,3005
354,2011-12-20,4,0,12,0,1,1,1,0.1114,0.1605,0.7136,0.278,698,1757,2455
355,2011-12-21,4,0,12,0,2,1,1,0.0414,0.1097,0.4708,0.56,544,1613,2157
356,2011-12-22,4,0,12,0,3,1,2,0.0342,0.0,0.5074,0.4106,802,2703,3505
357,2011-12-23,4,0,12,0,4,1,1,0.0805,0.0387,0.4641,0.1142,650,1922,2572
358,2011-12-24,4,0,12,0,5,0,1,0.0545,0.1177,0.345,0.2573,536,1001,1537
359,2011-12-25,4,0,12,0,6,0,3,0.1101,0.1246,0.2817,0.5223,542,951,1493
360,2011-12-26,4,0,12,1,0,0,2,0.0663,0.044,0.6308,0.1705,587,1368,1955
361,2011-12-27,4,0,12,0,1,1,1,0.0746,0.0784,0.3169,0.1823,716,1956,2672
362,2011-12-28,4,0,12,0,2,1,2,0.1245,0.1409,0.6271,0.4178,614,1917,2531
363,2011-12-29,4,0,12,0,3,1,2,0.1259,0.1267,0.5612,0.2709,691,2332,3023
364,2011-12-30,4,0,12,0,4,1,2,0.0458,0.0565,0.4411,0.4544,398,1116,1514
365,2011-12-31,4,0,12,0,5,0,1,0.1191,0.0931,0.4467,0.1908,493,1335,1828
366,2012-01-01,1,1,1,0,6,0,2,0.1726,0.1436,0.4204,0.4377,753,2257,3010
367,2012-01-02,1,1,1,1,0,0,3,0.1704,0.1008,0.9208,0.1708,825,1894,2719
368,2012-01-03,1,1,1,0,1,1,1,0.1301,0.1738,0.4468,0.1742,610,2689,3299
369,2012-01-04,1,1,1,0,2,1,1,0.2252,0.2404,0.5989,0.1165,635,2143,2778
370,2012-01-05,1,1,1,0,3,1,1,0.064,0.0731,0.4121,0.0866,551,2608,3159
371,2012-01-06,1,1,1,0,4,1,1,0.1236,0.1513,0.4133,0.2804,685,2786,3471
372,2012-01-07,1,1,1,0,5,0,1,0.1459,0.1939,0.5855,0.1491,691,2002,2693
373,2012-01-08,1,1,1,0,6,0,1,0.0696,0.0855,0.5935,0.3419,657,1985,2642
374,2012-01-09,1,1,1,0,0,1,1,0.0652,0.0439,0.5281,0.1273,657,2682,3339
375,2012-01-10,1,1,1,0,1,1,1,0.1177,0.1106,0.4969,0.4235,649,2455,3104
376,2012-01-11,1,1,1,0,2,1,2,0.1022,0.079,0.732,0.4185,465,2127,2592
377,2012-01-12,1,1,1,0,3,1,1,0.1939,0.1741,0.4069,0.3694,557,2209,2766
378,2012-01-13,1,1,1,0,4,1,3,0.1487,0.1331,0.624,0.35,723,2508,3231
379,2012-01-14,1,1,1,0,5,0,2,0.0766,0.0875,0.4763,0.281,855,2485,3340
380,2012-01-15,1,1,1,0,6,0,1,0.1571,0.1572,0.659,0.0826,702,2124,2826
381,2012-01-16,1,1,1,0,0,1,2,0.1579,0.1443,0.6156,0.4025,544,2268,2812
382,2012-01-17,1,1,1,0,1,1,1,0.1271,0.1074,0.3647,0.206,624,2731,3355
383,2012-01-18,1,1,1,0,2,1,1,0.108,0.1422,0.6661,0.2599,608,2818,3426
384,2012-01-19,1,1,1,0,3,1,1,0.1648,0.1614,0.5275,0.6113,561,2662,3223
385,2012-01-20,1,1,1,0,4,1,1,0.2007,0.2395,0.3389,0.247,587,2425,3012
386,2012-01-21,1,1,1,0,5,0,3,0.14,0.0768,0.7407,0.6351,422,1431,1853
387,2012-01-22,1,1,1,0,6,0,1,0.158,0.1877,0.5782,0.2235,550,2064,2614
388,2012-01-23,1,1,1,0,0,1,2,0.2364,0.2513,0.1772,0.1891,568,1972,2540
389,2012-01-24,1,1,1,0,1,1,2,0.1224,0.131,0.3824,0.4522,443,2100,2543
390,2012-01-25,1,1,1,0,2,1,1,0.1448,0.1442,0.5843,0.1108,716,3021,3737
391,2012-01-26,1,1,1,0,3,1,1,0.2362,0.2388,0.3588,0.2658,527,2494,3021
392,2012-01-27,1,1,1,0,4,1,2,0.1561,0.1198,0.4519,0.2982,589,2598,3187
393,2012-01-28,1,1,1,0,5,0,2,0.193,0.2005,0.5052,0.3601,573,1587,2160
394,2012-01-29,1,1,1,0,6,0,3,0.0718,0.0149,0.4219,0.3049,581,1618,2199
395,2012-01-30,1,1,1,0,0,1,1,0.092,0.0965,0.5511,0.2802,729,2873,3602
396,2012-01-31,1,1,1,0,1,1,3,0.1113,0.0945,0.6416,0.138,569,2560,3129
397,2012-02-01,1,1,2,0,2,1,1,0.2745,0.29,0.4409,0.0959,634,2261,2895
398,2012-02-02,1,1,2,1,3,0,1,0.1809,0.2231,0.4426,0.594,666,2446,3112
399,2012-02-03,1,1,2,0,4,1,1,0.2363,0.2675,0.2328,0.1904,757,2740,3497
400,2012-02-04,1,1,2,0,5,0,2,0.1957,0.1852,0.548,0.0357,707,2186,2893
401,2012-02-05,1,1,2,0,6,0,2,0.2053,0.214,0.4357,0.0267,437,1440,1877
402,2012-02-06,1,1,2,0,0,1,2,0.2516,0.3066,0.2596,0.5374,580,2439,3019
403,2012-02-07,1,1,2,0,1,1,2,0.2095,0.2387,0.4044,0.27,645,2551,3196
404,2012-02-08,1,1,2,0,2,1,1,0.1842,0.1722,0.7685,0.3051,603,2263,2866
405,2012-02-09,1,1,2,0,3,1,2,0.1816,0.1415,0.3707,0.2266,480,2165,2645
406,2012-02-10,1,1,2,0,4,1,1,0.2589,0.2265,0.3906,0.4965,648,2207,2855
407,2012-02-11,1,1,2,0,5,0,2,0.1316,0.134,0.4994,0.1826,599,1852,2451
408,2012-02-12,1,1,2,0,6,0,2,0.3204,0.2773,0.5492,0.1482,553,1817,2370
409,2012-02-13,1,1,2,0,0,1,1,0.2297,0.2622,0.7216,0.1048,570,2425,2995
410,2012-02-14,1,1,2,0,1,1,1,0.2706,0.2505,0.5841,0.2358,635,2790,3425
411,2012-02-15,1,1,2,0,2,1,1,0.2238,0.2155,0.1506,0.1172,614,2681,3295
412,2012-02-16,1,1,2,0,3,1,1,0.2076,0.1488,0.4582,0.2568,698,2410,3108
413,2012-02-17,1,1,2,0,4,1,1,0.1843,0.1514,0.5105,0.1537,653,2655,3308
414,2012-02-18,1,1,2,0,5,0,2,0.1808,0.2213,0.3479,0.0616,551,1679,2230
415,2012-02-19,1,1,2,0,6,0,1,0.2281,0.2037,0.6008,0.216,697,2042,2739
416,2012-02-20,1,1,2,0,0,1,1,0.2108,0.1879,0.6658,0.1851,642,2330,2972
417,2012-02-21,1,1,2,0,1,1,3,0.2165,0.1443,0.3631,0.0679,623,2142,2765
418,2012-02-22,1,1,2,0,2,1,3,0.1987,0.1807,0.4726,0.0863,587,2130,2717
419,2012-02-23,1,1,2,0,3,1,1,0.2199,0.2055,0.5323,0.3265,487,2018,2505
420,2012-02-24,1,1,2,0,4,1,1,0.3044,0.3132,0.5184,0.1534,593,2582,3175
421,2012-02-25,1,1,2,0,5,0,1,0.256,0.1921,0.5146,0.3564,695,2186,2881
422,2012-02-26,1,1,2,0,6,0,1,0.2182,0.2143,0.2743,0.1565,630,2072,2702
423,2012-02-27,1,1,2,0,0,1,1,0.164,0.1609,0.4997,0.4358,600,2418,3018
424,2012-02-28,1,1,2,0,1,1,2,0.2041,0.1669,0.3858,0.1526,527,2145,2672
425,2012-02-29,1,1,2,0,2,1,1,0.2416,0.2901,0.4152,0.2486,577,2583,3160
426,2012-03-01,1,1,3,0,3,1,2,0.4568,0.4458,0.2018,0.2367,572,2161,2733
427,2012-03-02,1,1,3,0,4,1,2,0.3885,0.39,0.235,0.1146,647,2422,3069
428,2012-03-03,1,1,3,0,5,0,1,0.2891,0.2889,0.5844,0.3481,814,1954,2768
429,2012-03-04,1,1,3,0,6,0,2,0.4108,0.3915,0.3003,0.3835,743,1833,2576
430,2012-03-05,1,1,3,0,0,1,2,0.2778,0.2984,0.5918,0.1825,610,2630,3240
431,2012-03-06,1,1,3,0,1,1,1,0.3576,0.3887,0.6048,0.2659,583,2616,3199
432,2012-03-07,1,1,3,0,2,1,1,0.3806,0.3926,0.5363,0.3674,718,2638,3356
433,2012-03-08,1,1,3,0,3,1,1,0.2769,0.2667,0.5639,0.6045,565,2572,3137
434,2012-03-09,1,1,3,0,4,1,1,0.4036,0.434,0.3184,0.1639,634,2470,3104
435,2012-03-10,1,1,3,0,5,0,1,0.3829,0.3683,0.4026,0.37,438,1727,2165
436,2012-03-11,1,1,3,0,6,0,1,0.3726,0.3586,0.3531,0.202,569,1686,2255
437,2012-03-12,1,1,3,0,0,1,2,0.2814,0.2434,0.6283,0.2432,608,2459,3067
438,2012-03-13,1,1,3,0,1,1,2,0.3419,0.3411,0.4374,0.6595,683,2620,3303
439,2012-03-14,1,1,3,0,2,1,1,0.3634,0.3891,0.504,0.3415,636,2828,3464
440,2012-03-15,1,1,3,0,3,1,1,0.3784,0.3474,0.7755,0.2493,633,2374,3007
441,2012-03-16,1,1,3,0,4,1,1,0.3333,0.3145,0.665,0.3312,597,2506,3103
442,2012-03-17,1,1,3,0,5,0,1,0.2878,0.287,0.2324,0.0789,688,2011,2699
443,2012-03-18,1,1,3,0,6,0,1,0.3629,0.3661,0.6623,0.7102,619,1665,2284
444,2012-03-19,1,1,3,0,0,1,1,0.2408,0.249,0.7362,0.6062,515,2671,3186
445,2012-03-20,1,1,3,0,1,1,3,0.3369,0.3284,0.645,0.255,680,2442,3122
446,2012-03-21,1,1,3,0,2,1,1,0.3438,0.2736,0.3069,0.139,582,2689,3271
447,2012-03-22,1,1,3,0,3,1,1,0.2647,0.2272,0.2946,0.2049,571,2381,2952
448,2012-03-23,1,1,3,0,4,1,1,0.3657,0.3857,0.3945,0.5013,625,1876,2501
449,2012-03-24,1,1,3,0,5,0,2,0.3324,0.4203,0.4859,0.4675,450,1348,1798
450,2012-03-25,1,1,3,0,6,0,2,0.2881,0.3169,0.3472,0.222,630,1934,2564
451,2012-03-26,1,1,3,0,0,1,2,0.4114,0.3629,0.5317,0.1124,512,2156,2668
452,2012-03-27,1,1,3,0,1,1,1,0.2655,0.2587,0.461,0.1444,589,2460,3049
453,2012-03-28,1,1,3,0,2,1,1,0.4546,0.4535,0.3164,0.24,636,2515,3151
454,2012-03-29,1,1,3,0,3,1,1,0.4044,0.4107,0.3995,0.4089,598,2826,3424
455,2012-03-30,1,1,3,0,4,1,2,0.3051,0.2761,0.4209,0.2572,761,2958,3719
456,2012-03-31,1,1,3,0,5,0,2,0.3325,0.3264,0.5137,0.3416,535,1707,2242
457,2012-04-01,2,1,4,0,6,0,3,0.4426,0.4211,0.5588,0.1395,807,2277,3084
458,2012-04-02,2,1,4,0,0,1,1,0.5051,0.529,0.3713,0.282,777,3456,4233
459,2012-04-03,2,1,4,0,1,1,2,0.4867,0.4567,0.6519,0.1151,946,3638,4584
460,2012-04-04,2,1,4,0,2,1,2,0.5219,0.4852,0.6844,0.0997,728,3029,3757
461,2012-04-05,2,1,4,0,3,1,1,0.446,0.4802,0.2921,0.224,930,3853,4783
462,2012-04-06,2,1,4,0,4,1,2,0.4712,0.521,0.6152,0.2237,713,3220,3933
463,2012-04-07,2,1,4,0,5,0,1,0.4826,0.5415,0.5538,0.284,981,2499,3480
464,2012-04-08,2,1,4,0,6,0,1,0.4805,0.4805,0.5652,0.0567,851,2643,3494
465,2012-04-09,2,1,4,0,0,1,1,0.5519,0.5663,0.6573,0.2992,826,3237,4063
466,2012-04-10,2,1,4,0,1,1,2,0.4821,0.5333,0.331,0.4506,852,3118,3970
467,2012-04-11,2,1,4,0,2,1,1,0.4102,0.3904,0.4175,0.1863,856,3433,4289
468,2012-04-12,2,1,4,0,3,1,1,0.4689,0.4346,0.4329,0.2808,731,3255,3986
469,2012-04-13,2,1,4,0,4,1,1,0.4163,0.427,0.2916,0.1347,813,3079,3892
470,2012-04-14,2,1,4,0,5,0,1,0.4134,0.4593,0.5917,0.386,996,3034,4030
471,2012-04-15,2,1,4,0,6,0,1,0.4764,0.4771,0.0982,0.154,1160,3014,4174
472,2012-04-16,2,1,4,0,0,1,2,0.4506,0.4321,0.4531,0.1579,712,2775,3487
473,2012-04-17,2,1,4,0,1,1,3,0.4804,0.4847,0.7424,0.04,645,2546,3191
474,2012-04-18,2,1,4,0,2,1,1,0.5869,0.5587,0.2497,0.1671,906,3426,4332
475,2012-04-19,2,1,4,0,3,1,1,0.4742,0.5067,0.3714,0.0576,769,3108,3877
476,2012-04-20,2,1,4,0,4,1,1,0.4794,0.5086,0.6383,0.7885,817,2971,3788
477,2012-04-21,2,1,4,0,5,0,1,0.4286,0.429,0.4037,0.0611,801,2535,3336
478,2012-04-22,2,1,4,0,6,0,1,0.5392,0.5326,0.5181,0.0587,789,2541,3330
479,2012-04-23,2,1,4,0,0,1,2,0.5003,0.5425,0.4471,0.033,878,3410,4288
480,2012-04-24,2,1,4,0,1,1,1,0.4201,0.4626,0.5669,0.0839,823,3458,4281
481,2012-04-25,2,1,4,0,2,1,1,0.5946,0.5716,0.5456,0.1038,913,3338,4251
482,2012-04-26,2,1,4,0,3,1,1,0.507,0.4758,0.5031,0.3195,832,3450,4282
483,2012-04-27,2,1,4,0,4,1,1,0.4315,0.4111,0.6052,0.1572,863,3713,4576
484,2012-04-28,2,1,4,0,5,0,1,0.421,0.4155,0.5525,0.1661,1126,3134,4260
485,2012-04-29,2,1,4,0,6,0,2,0.4037,0.3895,0.6619,0.1238,901,2724,3625
486,2012-04-30,2,1,4,0,0,1,2,0.4504,0.4546,0.5464,0.4255,798,3417,4215
487,2012-05-01,2,1,5,0,1,1,1,0.671,0.6957,0.5391,0.0271,899,3535,4434
488,2012-05-02,2,1,5,0,2,1,1,0.4952,0.4879,0.2422,0.1698,819,3433,4252
489,2012-05-03,2,1,5,0,3,1,1,0.568,0.5809,0.6392,0.0821,898,3104,4002
490,2012-05-04,2,1,5,0,4,1,1,0.6529,0.6258,0.7942,0.4581,857,3570,4427
491,2012-05-05,2,1,5,0,5,0,2,0.5845,0.587,0.7574,0.2258,1040,2899,3939
492,2012-05-06,2,1,5,0,6,0,1,0.5596,0.5744,0.4473,0.0498,903,2392,3295
493,2012-05-07,2,1,5,0,0,1,3,0.5557,0.5252,0.2381,0.0905,846,3130,3976
494,2012-05-08,2,1,5,0,1,1,1,0.4967,0.5202,0.4411,0.1277,745,3195,3940
495,2012-05-09,2,1,5,0,2,1,1,0.6235,0.5882,0.7639,0.3789,767,3148,3915
496,2012-05-10,2,1,5,0,3,1,1,0.5492,0.5651,0.6966,0.5581,745,3074,3819
497,2012-05-11,2,1,5,0,4,1,1,0.5523,0.5749,0.1854,0.0779,778,3248,4026
498,2012-05-12,2,1,5,0,5,0,2,0.5881,0.5573,0.7526,0.1003,966,2660,3626
499,2012-05-13,2,1,5,0,6,0,1,0.569,0.5752,0.644,0.6637,1071,2712,3783
500,2012-05-14,2,1,5,0,0,1,1,0.6515,0.6411,0.3958,0.0455,849,3300,4149
501,2012-05-15,2,1,5,0,1,1,1,0.5554,0.5574,0.4928,0.2256,684,2284,2968
502,2012-05-16,2,1,5,0,2,1,1,0.6448,0.6566,0.6936,0.3339,808,3374,4182
503,2012-05-17,2,1,5,0,3,1,2,0.6274,0.6418,0.6802,0.2055,940,3179,4119
504,2012-05-18,2,1,5,0,4,1,2,0.4974,0.5041,0.4742,0.3642,740,3643,4383
505,2012-05-19,2,1,5,0,5,0,2,0.6438,0.6174,0.7777,0.1668,782,2875,3657
506,2012-05-20,2,1,5,0,6,0,1,0.5911,0.5613,0.377,0.6349,1003,2944,3947
507,2012-05-21,2,1,5,0,0,1,1,0.6488,0.6718,0.7798,0.5324,740,2869,3609
508,2012-05-22,2,1,5,0,1,1,1,0.512,0.5077,0.6096,0.2009,760,3100,3860
509,2012-05-23,2,1,5,0,2,1,1,0.5496,0.5376,0.694,0.2915,855,3167,4022
510,2012-05-24,2,1,5,0,3,1,1,0.5995,0.632,0.6205,0.4311,829,3312,4141
511,2012-05-25,2,1,5,0,4,1,2,0.5907,0.6167,0.1965,0.0715,853,3333,4186
512,2012-05-26,2,1,5,0,5,0,1,0.5737,0.5712,0.4831,0.0672,837,2609,3446
513,2012-05-27,2,1,5,0,6,0,1,0.577,0.5244,0.3365,0.1904,913,2885,3798
514,2012-05-28,2,1,5,1,0,0,3,0.5625,0.5865,0.3588,0.7635,954,2724,3678
515,2012-05-29,2,1,5,0,1,1,1,0.5786,0.6216,0.6319,0.1885,907,3596,4503
516,2012-05-30,2,1,5,0,2,1,1,0.6371,0.639,0.5267,0.3787,801,3298,4099
517,2012-05-31,2,1,5,0,3,1,2,0.5907,0.6151,0.4478,0.3506,679,2876,3555
518,2012-06-01,2,1,6,0,4,1,2,0.6102,0.5954,0.5701,0.2981,879,3550,4429
519,2012-06-02,2,1,6,0,5,0,2,0.68,0.7046,0.3111,0.7167,1034,3112,4146
520,2012-06-03,2,1,6,0,6,0,1,0.6839,0.6592,0.7295,0.2585,833,2617,3450
521,2012-06-04,2,1,6,0,0,1,2,0.6357,0.665,0.5714,0.0745,751,3199,3950
522,2012-06-05,2,1,6,0,1,1,1,0.6131,0.562,0.4488,0.2195,770,2953,3723
523,2012-06-06,2,1,6,0,2,1,1,0.4837,0.4248,0.1286,0.2996,701,3181,3882
524,2012-06-07,2,1,6,0,3,1,1,0.5568,0.5441,0.3516,0.1628,756,2819,3575
525,2012-06-08,2,1,6,0,4,1,1,0.594,0.6501,0.3947,0.2919,911,3851,4762
526,2012-06-09,2,1,6,0,5,0,1,0.6847,0.6856,0.4065,0.571,967,2730,3697
527,2012-06-10,2,1,6,0,6,0,1,0.6176,0.6504,0.3046,0.2729,837,2331,3168
528,2012-06-11,2,1,6,0,0,1,1,0.4901,0.4636,0.4706,0.358,787,3201,3988
529,2012-06-12,2,1,6,0,1,1,1,0.6008,0.5635,0.5982,0.3902,866,3237,4103
530,2012-06-13,2,1,6,0,2,1,1,0.6286,0.6465,0.5904,0.5355,827,3402,4229
531,2012-06-14,2,1,6,0,3,1,2,0.5797,0.6117,0.3953,0.341,875,2972,3847
532,2012-06-15,2,1,6,0,4,1,1,0.5863,0.5842,0.382,0.0677,867,3448,4315
533,2012-06-16,2,1,6,0,5,0,2,0.6646,0.6261,0.406,0.1891,909,2892,3801
534,2012-06-17,2,1,6,0,6,0,1,0.5197,0.4898,0.2225,0.2055,967,2702,3669
535,2012-06-18,2,1,6,0,0,1,1,0.6115,0.6152,0.239,0.1959,783,3241,4024
536,2012-06-19,2,1,6,0,1,1,1,0.5653,0.6058,0.5899,0.4449,792,3170,3962
537,2012-06-20,2,1,6,0,2,1,1,0.6205,0.5792,0.4471,0.3368,778,3208,3986
538,2012-06-21,2,1,6,0,3,1,1,0.5998,0.6234,0.2918,0.2872,972,3698,4670
539,2012-06-22,2,1,6,0,4,1,1,0.6219,0.6317,0.9262,0.2053,815,3347,4162
540,2012-06-23,2,1,6,0,5,0,1,0.6817,0.6408,0.3305,0.5309,850,2930,3780
541,2012-06-24,2,1,6,0,6,0,2,0.59,0.6031,0.4888,0.0514,795,2344,3139
542,2012-06-25,2,1,6,0,0,1,2,0.5316,0.5631,0.862,0.3307,888,3742,4630
543,2012-06-26,2,1,6,0,1,1,1,0.5223,0.5423,0.5811,0.2723,967,3494,4461
544,2012-06-27,2,1,6,0,2,1,2,0.6014,0.6182,0.6734,0.5946,809,3312,4121
545,2012-06-28,2,1,6,0,3,1,2,0.6999,0.6704,0.4643,0.0481,788,2930,3718
546,2012-06-29,2,1,6,0,4,1,1,0.6544,0.5833,0.7651,0.1468,852,3690,4542
547,2012-06-30,2,1,6,0,5,0,1,0.5851,0.5355,0.5359,0.457,865,2880,3745
548,2012-07-01,3,1,7,0,6,0,1,0.5318,0.516,0.8102,0.2699,1133,3052,4185
549,2012-07-02,3,1,7,0,0,1,2,0.6059,0.6338,0.566,0.1001,888,3053,3941
