instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2748,2011-04-25,2,0,4,11,0,0,1,1,0.5668,0.5324,0.7301,0.64,33,91,124
2749,2011-04-25,2,0,4,12,0,0,1,1,0.5485,0.5528,0.6935,0.6372,13,37,50
2750,2011-04-25,2,0,4,13,0,0,1,1,0.5569,0.5322,0.7316,0.6372,21,57,78
2751,2011-04-25,2,0,4,14,0,0,1,1,0.5564,0.5546,0.6547,0.6108,33,92,125
2752,2011-04-25,2,0,4,15,0,0,1,1,0.5442,0.5168,0.6443,0.6291,79,222,301
2753,2011-04-25,2,0,4,16,0,0,1,1,0.5414,0.5386,0.683,0.6023,123,344,467
2754,2011-04-25,2,0,4,17,0,0,1,1,0.5744,0.5498,0.6724,0.6143,119,333,452
2755,2011-04-25,2,0,4,18,0,0,1,1,0.5546,0.5502,0.7158,0.621,98,273,371
2756,2011-04-25,2,0,4,19,0,0,1,1,0.5776,0.5301,0.7177,0.6263,77,216,293
2757,2011-04-25,2,0,4,20,0,0,1,1,0.5535,0.525,0.7241,0.6425,42,116,158
2758,2011-04-25,2,0,4,21,0,0,1,1,0.5704,0.5415,0.6782,0.6429,16,46,62
2759,2011-04-25,2,0,4,22,0,0,1,1,0.5686,0.5306,0.6538,0.6256,6,17,23
2760,2011-04-25,2,0,4,23,0,0,1,1,0.5672,0.5441,0.7294,0.613,2,7,9
2761,2011-04-26,2,0,4,0,0,1,1,2,0.536,0.5339,0.3401,0.5251,2,4,6
2762,2011-04-26,2,0,4,1,0,1,1,2,0.5235,0.5522,0.3067,0.5527,2,5,7
2763,2011-04-26,2,0,4,2,0,1,1,2,0.5096,0.5403,0.3613,0.513,1,4,5
2764,2011-04-26,2,0,4,3,0,1,1,2,0.5413,0.5539,0.3597,0.5285,3,8,11
2765,2011-04-26,2,0,4,4,0,1,1,2,0.5282,0.5497,0.301,0.5017,9,27,36
2766,2011-04-26,2,0,4,5,0,1,1,2,0.5319,0.5451,0.3444,0.533,25,72,97
2767,2011-04-26,2,0,4,6,0,1,1,2,0.5173,0.5451,0.317,0.5455,41,122,163
2768,2011-04-26,2,0,4,7,0,1,1,2,0.5174,0.5625,0.3648,0.5444,64,187,251
2769,2011-04-26,2,0,4,8,0,1,1,2,0.5045,0.561,0.3096,0.5136,75,222,297
2770,2011-04-26,2,0,4,9,0,1,1,2,0.519,0.5529,0.337,0.5533,53,157,210
2771,2011-04-26,2,0,4,10,0,1,1,2,0.5052,0.5412,0.345,0.541,40,118,158
2772,2011-04-26,2,0,4,11,0,1,1,2,0.52,0.5451,0.291,0.529,24,73,97
2773,2011-04-26,2,0,4,12,0,1,1,2,0.5249,0.5337,0.2818,0.496,13,39,52
2774,2011-04-26,2,0,4,13,0,1,1,2,0.5378,0.5624,0.3683,0.5059,16,45,61
2775,2011-04-26,2,0,4,14,0,1,1,2,0.5039,0.5525,0.2946,0.5021,27,78,105
2776,2011-04-26,2,0,4,15,0,1,1,2,0.5219,0.5389,0.3156,0.5406,54,158,212
2777,2011-04-26,2,0,4,16,0,1,1,2,0.5421,0.5616,0.351,0.4993,71,208,279
2778,2011-04-26,2,0,4,17,0,1,1,2,0.5292,0.5458,0.3474,0.5021,111,326,437
2779,2011-04-26,2,0,4,18,0,1,1,2,0.5328,0.5378,0.2961,0.5052,77,228,305
2780,2011-04-26,2,0,4,19,0,1,1,2,0.5082,0.5301,0.3288,0.5327,62,182,244
2781,2011-04-26,2,0,4,20,0,1,1,2,0.5151,0.5365,0.31,0.5297,25,75,100
2782,2011-04-26,2,0,4,21,0,1,1,2,0.5176,0.5605,0.3388,0.5526,15,46,61
2783,2011-04-26,2,0,4,22,0,1,1,2,0.5423,0.5338,0.3325,0.5499,3,10,13
2784,2011-04-26,2,0,4,23,0,1,1,2,0.5383,0.5326,0.3599,0.5506,2,4,6
2785,2011-04-27,2,0,4,0,0,2,1,1,0.4977,0.4594,0.4604,0.2133,2,5,7
2786,2011-04-27,2,0,4,1,0,2,1,1,0.4874,0.4697,0.4496,0.1971,2,6,8
2787,2011-04-27,2,0,4,2,0,2,1,1,0.4803,0.4404,0.4461,0.1738,1,5,6
2788,2011-04-27,2,0,4,3,0,2,1,1,0.5158,0.4425,0.4832,0.2032,2,8,10
2789,2011-04-27,2,0,4,4,0,2,1,1,0.5122,0.4421,0.4444,0.1927,7,23,30
2790,2011-04-27,2,0,4,5,0,2,1,1,0.4989,0.4691,0.5031,0.1912,18,62,80
2791,2011-04-27,2,0,4,6,0,2,1,1,0.516,0.4387,0.4253,0.1763,38,125,163
2792,2011-04-27,2,0,4,7,0,2,1,1,0.5063,0.4657,0.4862,0.1681,62,208,270
2793,2011-04-27,2,0,4,8,0,2,1,1,0.4928,0.4538,0.4587,0.1882,55,183,238
2794,2011-04-27,2,0,4,9,0,2,1,1,0.5188,0.4732,0.4666,0.1883,54,179,233
2795,2011-04-27,2,0,4,10,0,2,1,1,0.5066,0.4529,0.4134,0.2135,30,99,129
2796,2011-04-27,2,0,4,11,0,2,1,1,0.4876,0.4549,0.4887,0.2104,25,82,107
2797,2011-04-27,2,0,4,12,0,2,1,1,0.5093,0.4663,0.414,0.1701,12,40,52
2798,2011-04-27,2,0,4,13,0,2,1,1,0.5011,0.4486,0.4145,0.1771,17,55,72
2799,2011-04-27,2,0,4,14,0,2,1,1,0.4869,0.4544,0.4957,0.2212,36,119,155
2800,2011-04-27,2,0,4,15,0,2,1,1,0.486,0.4422,0.492,0.2022,59,198,257
2801,2011-04-27,2,0,4,16,0,2,1,1,0.5075,0.4404,0.4167,0.2097,81,271,352
2802,2011-04-27,2,0,4,17,0,2,1,1,0.5115,0.4651,0.4657,0.1648,104,346,450
2803,2011-04-27,2,0,4,18,0,2,1,1,0.4955,0.4535,0.4628,0.1852,77,256,333
2804,2011-04-27,2,0,4,19,0,2,1,1,0.509,0.4446,0.4286,0.1809,58,193,251
2805,2011-04-27,2,0,4,20,0,2,1,1,0.4802,0.4383,0.4725,0.1703,35,117,152
2806,2011-04-27,2,0,4,21,0,2,1,1,0.503,0.4444,0.4893,0.1852,11,36,47
2807,2011-04-27,2,0,4,22,0,2,1,1,0.4905,0.4412,0.4304,0.2215,4,14,18
2808,2011-04-27,2,0,4,23,0,2,1,1,0.491,0.4609,0.4688,0.2136,2,5,7
2809,2011-04-28,2,0,4,0,0,3,1,1,0.4995,0.4982,0.1626,0.2235,2,7,9
2810,2011-04-28,2,0,4,1,0,3,1,1,0.4899,0.5146,0.2249,0.2342,2,6,8
2811,2011-04-28,2,0,4,2,0,3,1,1,0.5079,0.4943,0.206,0.2455,2,5,7
2812,2011-04-28,2,0,4,3,0,3,1,1,0.4889,0.4957,0.1606,0.2797,3,11,14
2813,2011-04-28,2,0,4,4,0,3,1,1,0.4959,0.5152,0.2215,0.2239,8,25,33
2814,2011-04-28,2,0,4,5,0,3,1,1,0.4846,0.5011,0.1687,0.2376,22,70,92
2815,2011-04-28,2,0,4,6,0,3,1,1,0.4798,0.4966,0.217,0.2253,40,127,167
2816,2011-04-28,2,0,4,7,0,3,1,1,0.5115,0.5078,0.1594,0.2723,55,178,233
2817,2011-04-28,2,0,4,8,0,3,1,1,0.4763,0.4806,0.2106,0.2652,77,248,325
2818,2011-04-28,2,0,4,9,0,3,1,1,0.4777,0.4976,0.1594,0.2601,64,204,268
2819,2011-04-28,2,0,4,10,0,3,1,1,0.4966,0.5101,0.2139,0.2285,51,163,214
2820,2011-04-28,2,0,4,11,0,3,1,1,0.4915,0.4799,0.2455,0.2464,25,81,106
2821,2011-04-28,2,0,4,12,0,3,1,1,0.4769,0.4806,0.1958,0.2245,15,48,63
2822,2011-04-28,2,0,4,13,0,3,1,1,0.4833,0.5003,0.1895,0.2453,19,60,79
2823,2011-04-28,2,0,4,14,0,3,1,1,0.4791,0.481,0.2015,0.2342,41,134,175
2824,2011-04-28,2,0,4,15,0,3,1,1,0.4876,0.4917,0.161,0.2366,75,240,315
2825,2011-04-28,2,0,4,16,0,3,1,1,0.4838,0.4879,0.2417,0.2784,103,331,434
2826,2011-04-28,2,0,4,17,0,3,1,1,0.4939,0.4818,0.1872,0.2441,94,301,395
2827,2011-04-28,2,0,4,18,0,3,1,1,0.5044,0.5084,0.2112,0.2786,76,243,319
2828,2011-04-28,2,0,4,19,0,3,1,1,0.4792,0.481,0.2317,0.2427,75,240,315
2829,2011-04-28,2,0,4,20,0,3,1,1,0.484,0.5148,0.2096,0.2365,31,101,132
2830,2011-04-28,2,0,4,21,0,3,1,1,0.4785,0.4949,0.1981,0.2668,12,38,50
2831,2011-04-28,2,0,4,22,0,3,1,1,0.5056,0.514,0.2099,0.2625,5,14,19
2832,2011-04-28,2,0,4,23,0,3,1,1,0.4757,0.498,0.2028,0.2328,2,6,8
2833,2011-04-29,2,0,4,0,0,4,1,1,0.5084,0.5275,0.6996,0.3149,2,5,7
2834,2011-04-29,2,0,4,1,0,4,1,1,0.5177,0.5419,0.6952,0.3258,1,4,5
2835,2011-04-29,2,0,4,2,0,4,1,1,0.5256,0.5338,0.6752,0.2829,1,4,5
2836,2011-04-29,2,0,4,3,0,4,1,1,0.5124,0.559,0.701,0.3267,2,7,9
2837,2011-04-29,2,0,4,4,0,4,1,1,0.5254,0.5464,0.6884,0.326,6,20,26
2838,2011-04-29,2,0,4,5,0,4,1,1,0.5117,0.5608,0.6557,0.2826,15,52,67
2839,2011-04-29,2,0,4,6,0,4,1,1,0.522,0.5468,0.6902,0.3303,34,111,145
2840,2011-04-29,2,0,4,7,0,4,1,1,0.5373,0.5416,0.6718,0.3204,40,131,171
2841,2011-04-29,2,0,4,8,0,4,1,1,0.5016,0.5318,0.6477,0.3092,49,165,214
2842,2011-04-29,2,0,4,9,0,4,1,1,0.512,0.542,0.6903,0.2939,39,131,170
2843,2011-04-29,2,0,4,10,0,4,1,1,0.5289,0.5291,0.6584,0.3186,37,124,161
2844,2011-04-29,2,0,4,11,0,4,1,1,0.5243,0.5454,0.6821,0.3253,19,63,82
2845,2011-04-29,2,0,4,12,0,4,1,1,0.5313,0.5602,0.6928,0.2937,12,40,52
2846,2011-04-29,2,0,4,13,0,4,1,1,0.5308,0.5474,0.6504,0.3035,13,42,55
2847,2011-04-29,2,0,4,14,0,4,1,1,0.5026,0.5536,0.718,0.2929,27,89,116
2848,2011-04-29,2,0,4,15,0,4,1,1,0.512,0.5392,0.6295,0.2767,42,141,183
2849,2011-04-29,2,0,4,16,0,4,1,1,0.5329,0.5432,0.7215,0.3277,58,195,253
2850,2011-04-29,2,0,4,17,0,4,1,1,0.5206,0.5564,0.7075,0.2971,78,260,338
2851,2011-04-29,2,0,4,18,0,4,1,1,0.5383,0.5407,0.7186,0.2989,62,206,268
2852,2011-04-29,2,0,4,19,0,4,1,1,0.503,0.5561,0.6758,0.3065,51,168,219
2853,2011-04-29,2,0,4,20,0,4,1,1,0.5194,0.539,0.6547,0.3135,21,69,90
2854,2011-04-29,2,0,4,21,0,4,1,1,0.5272,0.5424,0.6656,0.3145,10,33,43
2855,2011-04-29,2,0,4,22,0,4,1,1,0.53,0.5327,0.6461,0.289,4,12,16
2856,2011-04-29,2,0,4,23,0,4,1,1,0.5101,0.5304,0.6519,0.3056,1,4,5
2857,2011-04-30,2,0,4,0,0,5,0,1,0.4796,0.4803,0.437,0.2397,1,2,3
2858,2011-04-30,2,0,4,1,0,5,0,1,0.4451,0.4905,0.4227,0.2438,1,2,3
2859,2011-04-30,2,0,4,2,0,5,0,1,0.4454,0.4776,0.463,0.2671,1,2,3
2860,2011-04-30,2,0,4,3,0,5,0,1,0.4644,0.473,0.4969,0.2736,1,2,3
2861,2011-04-30,2,0,4,4,0,5,0,1,0.4768,0.5038,0.467,0.2229,1,3,4
2862,2011-04-30,2,0,4,5,0,5,0,1,0.4686,0.4941,0.5132,0.279,3,6,9
2863,2011-04-30,2,0,4,6,0,5,0,1,0.4441,0.4756,0.4983,0.2618,6,12,18
2864,2011-04-30,2,0,4,7,0,5,0,1,0.4666,0.5051,0.472,0.2651,11,22,33
2865,2011-04-30,2,0,4,8,0,5,0,1,0.4646,0.4775,0.4278,0.2232,28,60,88
2866,2011-04-30,2,0,4,9,0,5,0,1,0.4625,0.4869,0.4472,0.2543,39,81,120
2867,2011-04-30,2,0,4,10,0,5,0,1,0.4823,0.4977,0.4612,0.2394,58,124,182
2868,2011-04-30,2,0,4,11,0,5,0,1,0.4767,0.4896,0.5074,0.2248,78,165,243
2869,2011-04-30,2,0,4,12,0,5,0,1,0.4565,0.5083,0.4286,0.281,72,152,224
2870,2011-04-30,2,0,4,13,0,5,0,1,0.4634,0.5029,0.5074,0.273,112,237,349
2871,2011-04-30,2,0,4,14,0,5,0,1,0.4756,0.481,0.477,0.2607,106,226,332
2872,2011-04-30,2,0,4,15,0,5,0,1,0.4705,0.4819,0.4211,0.2444,71,152,223
2873,2011-04-30,2,0,4,16,0,5,0,1,0.4799,0.4994,0.4151,0.252,61,128,189
2874,2011-04-30,2,0,4,17,0,5,0,1,0.4815,0.4948,0.4575,0.2459,34,71,105
2875,2011-04-30,2,0,4,18,0,5,0,1,0.4556,0.5014,0.4749,0.2629,21,46,67
2876,2011-04-30,2,0,4,19,0,5,0,1,0.4548,0.4822,0.4499,0.2621,13,28,41
2877,2011-04-30,2,0,4,20,0,5,0,1,0.4696,0.4732,0.5054,0.2322,5,11,16
2878,2011-04-30,2,0,4,21,0,5,0,1,0.4802,0.5015,0.4662,0.2372,3,5,8
2879,2011-04-30,2,0,4,22,0,5,0,1,0.4632,0.507,0.473,0.2745,1,2,3
2880,2011-04-30,2,0,4,23,0,5,0,1,0.4735,0.5073,0.4697,0.2507,1,2,3
2881,2011-05-01,2,0,5,0,0,6,0,1,0.581,0.5879,0.5447,0.4831,1,2,3
2882,2011-05-01,2,0,5,1,0,6,0,1,0.5741,0.5724,0.5579,0.5133,1,1,2
2883,2011-05-01,2,0,5,2,0,6,0,1,0.5756,0.573,0.6135,0.5248,1,1,2
2884,2011-05-01,2,0,5,3,0,6,0,1,0.5811,0.5964,0.542,0.4831,1,2,3
2885,2011-05-01,2,0,5,4,0,6,0,1,0.5725,0.5876,0.6034,0.5368,1,2,3
2886,2011-05-01,2,0,5,5,0,6,0,1,0.594,0.5756,0.5891,0.5252,2,5,7
2887,2011-05-01,2,0,5,6,0,6,0,1,0.5829,0.5958,0.6118,0.5231,6,13,19
2888,2011-05-01,2,0,5,7,0,6,0,1,0.5905,0.5927,0.5266,0.5254,10,21,31
2889,2011-05-01,2,0,5,8,0,6,0,1,0.5798,0.5677,0.5284,0.5034,26,51,77
2890,2011-05-01,2,0,5,9,0,6,0,1,0.5864,0.5689,0.5407,0.486,38,78,116
2891,2011-05-01,2,0,5,10,0,6,0,1,0.575,0.5764,0.5275,0.5071,68,137,205
2892,2011-05-01,2,0,5,11,0,6,0,1,0.5768,0.5873,0.591,0.4861,82,165,247
2893,2011-05-01,2,0,5,12,0,6,0,1,0.5611,0.575,0.5398,0.5287,76,153,229
2894,2011-05-01,2,0,5,13,0,6,0,1,0.581,0.5937,0.6075,0.5316,99,199,298
2895,2011-05-01,2,0,5,14,0,6,0,1,0.5662,0.562,0.5373,0.494,87,176,263
2896,2011-05-01,2,0,5,15,0,6,0,1,0.5625,0.5621,0.5721,0.5308,84,170,254
2897,2011-05-01,2,0,5,16,0,6,0,1,0.5647,0.5794,0.5642,0.4955,52,105,157
2898,2011-05-01,2,0,5,17,0,6,0,1,0.5978,0.5897,0.5563,0.5077,39,78,117
2899,2011-05-01,2,0,5,18,0,6,0,1,0.589,0.5873,0.5394,0.5288,27,54,81
2900,2011-05-01,2,0,5,19,0,6,0,1,0.5737,0.5681,0.5614,0.5099,14,29,43
2901,2011-05-01,2,0,5,20,0,6,0,1,0.5656,0.5647,0.5245,0.5255,5,11,16
2902,2011-05-01,2,0,5,21,0,6,0,1,0.5662,0.596,0.5726,0.5157,3,6,9
2903,2011-05-01,2,0,5,22,0,6,0,1,0.5596,0.5896,0.5593,0.5371,1,2,3
2904,2011-05-01,2,0,5,23,0,6,0,1,0.5692,0.5807,0.5684,0.5016,1,1,2
2905,2011-05-02,2,0,5,0,0,0,1,3,0.6776,0.6343,0.6352,0.1258,2,6,8
2906,2011-05-02,2,0,5,1,0,0,1,3,0.6933,0.6529,0.6723,0.1256,2,5,7
2907,2011-05-02,2,0,5,2,0,0,1,3,0.6885,0.6334,0.6967,0.1493,2,6,8
2908,2011-05-02,2,0,5,3,0,0,1,3,0.6967,0.6235,0.6482,0.1092,3,11,14
2909,2011-05-02,2,0,5,4,0,0,1,3,0.6684,0.6234,0.6432,0.1577,9,26,35
2910,2011-05-02,2,0,5,5,0,0,1,3,0.6728,0.6557,0.6616,0.1474,27,79,106
2911,2011-05-02,2,0,5,6,0,0,1,3,0.6756,0.6567,0.6832,0.143,44,130,174
2912,2011-05-02,2,0,5,7,0,0,1,3,0.6991,0.6202,0.6412,0.1167,70,209,279
2913,2011-05-02,2,0,5,8,0,0,1,3,0.6815,0.6475,0.6652,0.121,61,183,244
2914,2011-05-02,2,0,5,9,0,0,1,3,0.6866,0.629,0.6274,0.0987,63,190,253
2915,2011-05-02,2,0,5,10,0,0,1,3,0.6989,0.6251,0.6575,0.1286,52,156,208
2916,2011-05-02,2,0,5,11,0,0,1,3,0.6995,0.6356,0.648,0.116,25,75,100
2917,2011-05-02,2,0,5,12,0,0,1,3,0.6814,0.6585,0.6653,0.1189,18,54,72
2918,2011-05-02,2,0,5,13,0,0,1,3,0.6928,0.6567,0.6556,0.1197,22,65,87
2919,2011-05-02,2,0,5,14,0,0,1,3,0.6794,0.6273,0.6502,0.1516,31,92,123
2920,2011-05-02,2,0,5,15,0,0,1,3,0.6862,0.6275,0.6876,0.1454,79,234,313
2921,2011-05-02,2,0,5,16,0,0,1,3,0.6892,0.6466,0.6215,0.1579,109,325,434
2922,2011-05-02,2,0,5,17,0,0,1,3,0.7059,0.6251,0.6436,0.1099,129,383,512
2923,2011-05-02,2,0,5,18,0,0,1,3,0.6952,0.6412,0.6575,0.1055,108,320,428
2924,2011-05-02,2,0,5,19,0,0,1,3,0.6955,0.6512,0.711,0.1521,73,218,291
2925,2011-05-02,2,0,5,20,0,0,1,3,0.6878,0.6336,0.6521,0.1088,34,100,134
2926,2011-05-02,2,0,5,21,0,0,1,3,0.697,0.6561,0.6773,0.1057,14,42,56
2927,2011-05-02,2,0,5,22,0,0,1,3,0.6769,0.6254,0.701,0.1078,4,12,16
2928,2011-05-02,2,0,5,23,0,0,1,3,0.6703,0.6478,0.6551,0.1578,2,6,8
2929,2011-05-03,2,0,5,0,0,1,1,1,0.6028,0.62,0.6292,0.0739,1,5,6
2930,2011-05-03,2,0,5,1,0,1,1,1,0.5982,0.6528,0.6083,0.0816,1,4,5
2931,2011-05-03,2,0,5,2,0,1,1,1,0.6043,0.6283,0.5765,0.0785,2,5,7
2932,2011-05-03,2,0,5,3,0,1,1,1,0.5734,0.6304,0.5554,0.1015,2,8,10
2933,2011-05-03,2,0,5,4,0,1,1,1,0.5933,0.6502,0.5576,0.0803,8,23,31
2934,2011-05-03,2,0,5,5,0,1,1,1,0.5937,0.6275,0.6019,0.086,19,60,79
2935,2011-05-03,2,0,5,6,0,1,1,1,0.5849,0.6537,0.6292,0.1186,30,97,127
2936,2011-05-03,2,0,5,7,0,1,1,1,0.5877,0.6333,0.5524,0.0753,55,174,229
2937,2011-05-03,2,0,5,8,0,1,1,1,0.5962,0.6241,0.5925,0.128,68,215,283
2938,2011-05-03,2,0,5,9,0,1,1,1,0.571,0.6335,0.6273,0.1041,60,190,250
2939,2011-05-03,2,0,5,10,0,1,1,1,0.5797,0.6576,0.6339,0.0921,34,108,142
2940,2011-05-03,2,0,5,11,0,1,1,1,0.6036,0.6413,0.6155,0.0979,19,61,80
2941,2011-05-03,2,0,5,12,0,1,1,1,0.5993,0.6432,0.582,0.1105,11,37,48
2942,2011-05-03,2,0,5,13,0,1,1,1,0.5665,0.6275,0.5661,0.1228,12,37,49
2943,2011-05-03,2,0,5,14,0,1,1,1,0.603,0.6275,0.544,0.1176,30,96,126
2944,2011-05-03,2,0,5,15,0,1,1,1,0.589,0.6241,0.5796,0.0744,43,136,179
2945,2011-05-03,2,0,5,16,0,1,1,1,0.5886,0.637,0.6361,0.0928,73,230,303
2946,2011-05-03,2,0,5,17,0,1,1,1,0.6007,0.6441,0.6081,0.128,99,315,414
2947,2011-05-03,2,0,5,18,0,1,1,1,0.5716,0.6267,0.6166,0.125,62,198,260
2948,2011-05-03,2,0,5,19,0,1,1,1,0.6032,0.6293,0.6248,0.111,44,138,182
2949,2011-05-03,2,0,5,20,0,1,1,1,0.5863,0.6252,0.5665,0.102,29,93,122
2950,2011-05-03,2,0,5,21,0,1,1,1,0.5723,0.624,0.5809,0.0882,10,32,42
2951,2011-05-03,2,0,5,22,0,1,1,1,0.5783,0.6485,0.6075,0.0874,4,12,16
2952,2011-05-03,2,0,5,23,0,1,1,1,0.6016,0.6436,0.5569,0.1063,2,5,7
2953,2011-05-04,2,0,5,0,0,2,1,1,0.5608,0.5375,0.2989,0.167,2,6,8
2954,2011-05-04,2,0,5,1,0,2,1,1,0.5791,0.5469,0.2488,0.1774,2,5,7
2955,2011-05-04,2,0,5,2,0,2,1,1,0.5633,0.5568,0.2736,0.1769,2,5,7
2956,2011-05-04,2,0,5,3,0,2,1,1,0.5532,0.5424,0.3027,0.1582,3,7,10
2957,2011-05-04,2,0,5,4,0,2,1,1,0.5673,0.5576,0.3218,0.1765,8,22,30
2958,2011-05-04,2,0,5,5,0,2,1,1,0.5563,0.5417,0.2667,0.1795,21,59,80
2959,2011-05-04,2,0,5,6,0,2,1,1,0.5877,0.5491,0.2579,0.1524,34,96,130
2960,2011-05-04,2,0,5,7,0,2,1,1,0.5501,0.5581,0.3145,0.1713,67,186,253
2961,2011-05-04,2,0,5,8,0,2,1,1,0.5627,0.5649,0.3066,0.1832,68,189,257
2962,2011-05-04,2,0,5,9,0,2,1,1,0.5576,0.5382,0.3343,0.1978,55,152,207
2963,2011-05-04,2,0,5,10,0,2,1,1,0.5799,0.536,0.3224,0.1756,36,102,138
2964,2011-05-04,2,0,5,11,0,2,1,1,0.566,0.5498,0.3386,0.2,24,67,91
2965,2011-05-04,2,0,5,12,0,2,1,1,0.5832,0.5584,0.2491,0.1642,12,35,47
2966,2011-05-04,2,0,5,13,0,2,1,1,0.5833,0.533,0.284,0.1565,18,50,68
2967,2011-05-04,2,0,5,14,0,2,1,1,0.5682,0.5416,0.3174,0.1895,29,81,110
2968,2011-05-04,2,0,5,15,0,2,1,1,0.5509,0.538,0.3032,0.1734,54,151,205
2969,2011-05-04,2,0,5,16,0,2,1,1,0.551,0.533,0.279,0.1587,88,243,331
2970,2011-05-04,2,0,5,17,0,2,1,1,0.5845,0.533,0.3052,0.1511,89,248,337
2971,2011-05-04,2,0,5,18,0,2,1,1,0.5663,0.5472,0.2415,0.195,94,263,357
2972,2011-05-04,2,0,5,19,0,2,1,1,0.5534,0.5551,0.2734,0.1737,60,167,227
2973,2011-05-04,2,0,5,20,0,2,1,1,0.5659,0.5651,0.298,0.2054,28,77,105
2974,2011-05-04,2,0,5,21,0,2,1,1,0.5555,0.5646,0.2594,0.1898,14,40,54
2975,2011-05-04,2,0,5,22,0,2,1,1,0.5868,0.5466,0.2912,0.175,4,13,17
2976,2011-05-04,2,0,5,23,0,2,1,1,0.5563,0.5304,0.2976,0.197,2,5,7
2977,2011-05-05,2,0,5,0,0,3,1,1,0.4996,0.5284,0.514,0.0411,2,6,8
2978,2011-05-05,2,0,5,1,0,3,1,1,0.5253,0.5164,0.6039,0.018,1,5,6
2979,2011-05-05,2,0,5,2,0,3,1,1,0.5344,0.4993,0.5506,0.052,2,4,6
2980,2011-05-05,2,0,5,3,0,3,1,1,0.5021,0.5273,0.5536,0.0556,3,7,10
2981,2011-05-05,2,0,5,4,0,3,1,1,0.5128,0.5237,0.5471,0.0252,9,26,35
2982,2011-05-05,2,0,5,5,0,3,1,1,0.5214,0.5298,0.5464,0.0272,22,66,88
2983,2011-05-05,2,0,5,6,0,3,1,1,0.5335,0.5331,0.5559,0.0331,43,129,172
2984,2011-05-05,2,0,5,7,0,3,1,1,0.5304,0.5002,0.604,0.0351,73,215,288
2985,2011-05-05,2,0,5,8,0,3,1,1,0.5347,0.5079,0.5309,0.0334,59,176,235
2986,2011-05-05,2,0,5,9,0,3,1,1,0.5332,0.5355,0.567,0.0223,63,186,249
2987,2011-05-05,2,0,5,10,0,3,1,1,0.5345,0.5194,0.5561,0.0632,45,135,180
2988,2011-05-05,2,0,5,11,0,3,1,1,0.5254,0.5154,0.5114,0.0291,26,77,103
2989,2011-05-05,2,0,5,12,0,3,1,1,0.5143,0.4981,0.5263,0.0443,15,46,61
2990,2011-05-05,2,0,5,13,0,3,1,1,0.498,0.5332,0.5283,0.0629,15,45,60
2991,2011-05-05,2,0,5,14,0,3,1,1,0.5374,0.537,0.5704,0.0558,40,120,160
2992,2011-05-05,2,0,5,15,0,3,1,1,0.5366,0.5021,0.5498,0.0478,55,165,220
2993,2011-05-05,2,0,5,16,0,3,1,1,0.4998,0.5059,0.5633,0.0279,103,306,409
2994,2011-05-05,2,0,5,17,0,3,1,1,0.513,0.5267,0.5588,0.0159,109,322,431
2995,2011-05-05,2,0,5,18,0,3,1,1,0.5019,0.5261,0.5539,0.0538,86,257,343
2996,2011-05-05,2,0,5,19,0,3,1,1,0.5368,0.5026,0.5571,0.0325,51,153,204
2997,2011-05-05,2,0,5,20,0,3,1,1,0.5099,0.5345,0.5614,0.0755,34,99,133
2998,2011-05-05,2,0,5,21,0,3,1,1,0.5185,0.5373,0.5426,0.0551,17,51,68
2999,2011-05-05,2,0,5,22,0,3,1,1,0.5339,0.5347,0.599,0.0336,5,16,21
3000,2011-05-05,2,0,5,23,0,3,1,1,0.5212,0.5262,0.5375,0.0468,2,5,7
3001,2011-05-06,2,0,5,0,0,4,1,1,0.5384,0.59,0.3087,0.2676,1,4,5
3002,2011-05-06,2,0,5,1,0,4,1,1,0.5596,0.5765,0.2764,0.2366,1,4,5
3003,2011-05-06,2,0,5,2,0,4,1,1,0.5651,0.556,0.2811,0.2491,1,5,6
3004,2011-05-06,2,0,5,3,0,4,1,1,0.5462,0.5815,0.2915,0.2356,2,8,10
3005,2011-05-06,2,0,5,4,0,4,1,1,0.5758,0.578,0.3082,0.2267,6,21,27
3006,2011-05-06,2,0,5,5,0,4,1,1,0.5465,0.5599,0.3288,0.2671,15,50,65
3007,2011-05-06,2,0,5,6,0,4,1,1,0.5389,0.5746,0.3526,0.2671,36,122,158
3008,2011-05-06,2,0,5,7,0,4,1,1,0.5555,0.5719,0.2839,0.2255,56,188,244
3009,2011-05-06,2,0,5,8,0,4,1,1,0.5429,0.5553,0.2829,0.2402,57,189,246
3010,2011-05-06,2,0,5,9,0,4,1,1,0.5409,0.5811,0.272,0.2715,55,182,237
3011,2011-05-06,2,0,5,10,0,4,1,1,0.5651,0.5764,0.2739,0.2667,29,98,127
3012,2011-05-06,2,0,5,11,0,4,1,1,0.5522,0.582,0.3584,0.2637,22,72,94
3013,2011-05-06,2,0,5,12,0,4,1,1,0.5452,0.5656,0.3054,0.2393,11,37,48
3014,2011-05-06,2,0,5,13,0,4,1,1,0.5525,0.5809,0.3375,0.2645,15,48,63
3015,2011-05-06,2,0,5,14,0,4,1,1,0.5658,0.5825,0.3223,0.2286,32,105,137
3016,2011-05-06,2,0,5,15,0,4,1,1,0.5567,0.5739,0.3542,0.2209,60,199,259
3017,2011-05-06,2,0,5,16,0,4,1,1,0.5671,0.5848,0.3215,0.2666,68,229,297
